"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDown","Surefire suite","Mon Oct 07 12:22:49 EEST 2024","broken","Mon Oct 07 12:22:49 EEST 2024","GitHubPageTest","Surefire test","GitHubPageTest","tearDown"
"","1231","Verify Google Title Test","Surefire suite","Mon Oct 07 13:39:41 EEST 2024","passed","Mon Oct 07 13:39:42 EEST 2024","GitHubPageTest","Surefire test","GitHubPageTest","openGitHubHomePage"
